sarcasm,Text
1,"This protective article of clothing is much more than meets the eye. Simple pixles from your computer screen couldn't possibly capture the majestic and unbridled power of this cloak. There are *actual yeti hairs inscribed into each fiber of cotton. This is a definite must buy, considering the raw power of this more-than-celestial article. Purchase this shirt today, and release the debiltating, dragging bonds of society."
1,"I am amazed that anyone put up the money to produce this night of self-delusion and self-absorption. This is nothing but karaoke with an orchestra standing in place of the karaoke machine. Ok, Rufus, the bar heard you sing once already. Shut up, sit down, and let someone else get a chance at the microphone. Why do I keep coming to this bar on karaoke night? Boy, do I have too much time on my hands. Hey, there's a cutie over there; I think I'll go over and say, ""hello."" Wait a minute! Who's singing now? Rufus again?! That's it, I'm outa here!"
1,"If you are looking for a really expensive paperweight, or need to replace the brick in your solid gold commode, the Archos is the device for you. However, if you are looking for any amount of *functionality*, there are volumes of viable choices that cost much less and actually work, such as any Android-based phone. To compare the application library that Archos provides [without using a hack another user has provided to access the Android Library] is like comparing the largest local mega-mall to a ""7-11"" corner store... assuming the corner store went bankrupt several years ago."
1,snatches paper like a starving man grabbing bread. Has snarled EVERY sheet of glossy brochure paper I've fed it! I can guarantee you I will never buy another HP product. Never. Ever.
1,"1. The font which is used to write the words ""And Rising"" is an unfortunate choice. The components of the ""d"" in ""and"" are not joined as tightly as they might be, so the ""d"" looks like an ""al."" This changes the name of the album significantly."
1,"200 pages: Nothing has happened. 300 pages: Nothing has happened. 350 pages: Nothing has happened. 400 pages: NOTHING HAS HAPPENED. Are you Kidding me? Wait. WAIT. On page 441, something happens. SOMETHING IS HAPPENING. O my God, this is it. Something is really going to happen! I plodded through this padded wasteland and finally something is going to happen! Oh. Wait. It's resolved by page 451."
1,An experienced explorer can walk from Philadelphia to NYC in one day in the worst blizzard in history.
1,"""Are White people blind? This movie was awful"" ""It's obvious to me the positive reviews here come from White people fascinated with Asian culture (anything Asian must be exotic and intriguing). Just look at the review entitled ""multicultural Braveheart with Kim Chi."""" ""I don't see any reviews for Braveheart entitled ""multicultural First Emperor with Haggis."""" ""There was no Kim Chi in this movie."""
1,"Wuthering Indeed! The only consolation the non-preteen girl reader can get form this sack of slumber is the final realisation that ""wuthering"" is British slang for ""your eyelids are getting heavy, why don't you just nod off?"""
1,"The king, for example, is ""really"" a penis, and therefore the whole game is ""really"" an attempt at castration, because both players attempt to mate the enemy king. Castling is protecting one's penis from the castrating father because it ""hides away"" the game's ""penis"". Riiiiiiiiight. The queen's power, on the other hand, shows the mother's female power, and players who tend to swap queens early are afraid of women. Well, either that, or they are stronger in queenless positions because they are better in positional endgames than in tactical ones. And what about languages where the piece is not called a ""queen"" at all, such as Arabic or Hungarian? No matter--the very fact that it's *powerful* is enough for it to symbolize the power of women. Again, Riiiiiiiiiight. On the other hand a total stranger, like Dr. Fine, from decades and continents away, can effortly tell us the ""deep subconscious reasons"" some master ""really"" made a certain move. How did Fine aquire this magical ability? From St. Freud, of course. For the third time: Riiiiiiiiiiiiiiiiiiiiight. I therefore recommend you go right out and get the book!"
1,"I don't know how to explain it but the awesome factor of the Three Wolf Moon T-Shirt is not in fact multiplied by the Zubaz pants. It's like Cold Fusion - once you bring two multifarious confidence and testosterone factors into play, the inverse coalition of chronological extremes dipolarizes the original fulcrum"
1,"""I could write a guide on how to fly a 747 but when you find out I only actually fly model planes, the perspective changes."""
1,"his film is a mish-mash of retread effects, no thrills whatsoever and way too many, ""Oh, we just missed her again by seconds, so let's chase her some more!"" Wretched, simply wretched. Species, since it's release, has been the movie by which I judge all others - for awfulness. Whenever I see a truly terrible sci-fi movie, the first thought that comes to mind is, ""Well, it was better than Species."""
1,"If you enjoy repeated phrases (e.g., ""fountain in a Love-In-Tokyo""), overused metaphors, and capitalized words in the Middle Of Sentences For Effect, then this is the book for you."
1,"But, why should you buy this T&EASGJS2DVD? Simple. Flexibility! The DVD can double as: Constant Feelings of Inescapable sorrow A solitary smile, finally at peace."
1,"If The Jackson 5 were little white-hippies, moved from Gary, Indiana down to Tulsa Oklahoma, had at least 2 less talented brothers, a lot less soul; a little less style, exchanged their Afros for some new goldy-locks, and were able to move from 1964 to 1997 then they might be Hanson. I love Hanson!!!"
1,"If you're a fan of awkward pauses, weak plotlines, and shirtless guys, this movie is for you."
1,"Good for basic rythmn, but you'll never hear these in a live setting, unless you mike them. Be like Mick Jaggar and get the really big gord models or better yet, some plastic or rawhide model, or a cylindrical shaker, you can at least hear them in the live setting."
1,"After reading it in its entirety, I felt the type of satisfaction one feels after completing a particularly odious chore. Removing my copy from my home will be most satisfying. Bottom line: Boooooooooooooring!"
1,Oh em gee! This is like the most bomb diggity fantastic album ever. I want to permanently attach my earphones to my ear and blast Adam's music into my brain. He is God. I luv internet privacy. Don't you?
1,"I mean come on how many times do I have to watch Peyton near death, I seriously could care less how a totally unrealistic character can be thrown into life and death situations just to see her cry 85% of the season. And Dan, jesus can the guy die already, he has been poisened, hit by a car, tortured by a pschotic nanny (lmfao yes that actually did happen), oh and let me not forget he needs a heart transplant. He was close to getting one but nah a dog seemed to come across his new heart and got hungry and ate it, WTF! It's so sad that this show has come to a dog eating a friggen heart to entertain people."
1,"THIS IS A FANTASTIC BOOK BUT MY BOOKSHELF IS A BIT SPARSE AS AFTER READING IT I BURNED ALL MY OTHER BOOKS, INCLUDING THE BIBLES AS THEY WERE WRITTEN PARTIALLY IN LOWERCASE LETTERS, OR AS I LIKE TO CALL THEM, THE DEVIL'S RUNES"
1,"After keeping Dad in a cardboard cylinder in the garage on the workbench near his tools, where he was most at home for a couple of years, Mom had to move to an assisted living facility. Since she talks to him every day, we had to prepare Dad for the move. He wasn't too happy about it, and he was pretty upset that we spent so much money for his new home, especially since the old one was free from the crematorium. He also wasn't too happy about being stuck in the same room with Mom all the time, because now he'd have to listen to her talking all day. When I told him the urn was pretty soundproof, he said ok. So I poured him in. He just fit, but I spilled a little of him on the workbench.He was ok with that."
1,"When the Library Journal review says ""Not recommended,"" believe them! I bought this from the $1 bin at a bookstore sale, and paid too much. I was hoping to find a look into some of the inner workings of the FBI and some good stories. Instead, I got a 210 page diatribe on how awful ""that Clinton crowd"" and ""those Clinton people"" were. Aldrich chose the most unprofessional way possible for an ""insider"" to complain about the lack of professionalism of the Clinton administration. He also makes it clear that he knew from day one that they were all going to be bad news because some of the men had earrings and pony tails! And one woman dressed in all black and wore black fingernail polish, so he knew she was ""unsuitable."""
1,"This tank is great for clearing out the undead. Class 3 outbreak? Zombies around every corner? No problem if you have this tank. With its confortable passanger space and great sniper area on the roof, you will be ready to take down a mob of flesh-starved zombies. If you order the gps link-up with the official Badonkadonk Ion Cannon in orbit, you might even clear the infected area all by yourself (service is extra. $19.99 customer service on the Ion Cannon.) Killer sound, too, so that you can rekill to your favorite music. It has a loudspeaker outside so that the enemy can die to the sound of great music (and not each other's moans.) Overall its a very good tank. But the color selection could be better..."
1,"""I bought this because it seemingly had three 20-minute cardio segments and I thought I'd get a great cardio workout. NOT."" ""The viewer is left with a mish-mash of poor technique and a flamboyant instructor running his mouth (and hovering around the ""boys"")."" ""I am used to seeing in-shape and toned bodies on my workout DVD's, providing a VISUAL GOAL for myself. Right?"""
1,This is is some of the best dick I've ever had...filled me up and is delicious. If you never have had the experience of chowing on some dick-- I highly recommend giving this one a shot.
1,'if your not to old to lose most of your olfactory senses (smell) then you probably won't be able to stand using this product.' 'would rather lose my hair then smell like a chemical dump.'
1,"""If you don't use it, it could last a very long time."""
1,"Seems like a good quality product, except that I CAN'T PUT IT TOGETHER!!!"
1,Meyers' books are GREAT.......if you're an aspiring writer in need of a primer that gives never-ending examples of what NOT TO DO.
1,"There is something Tragic/Comic about the image of poor folks walking the streets struggling to refute their ""IB's"", diligently doing their Charts at night, trying very hard to convince themselves that bliss is at hand, it's all in ""The Head""."
1,"""I had no idea it was a Madonna concert until 30 minutes in. I was convinced that I was watching a horrifying zombie movie."" ""Madonna 3/4 naked on stage at this point in her life...NO!"""
1,Does the publisher seriously think anyone is going to want to buy and read this book on April 27th? By that time John Edwards will have fathered more love children and spent 2400 more dollars on haircuts!
1,t still makes a nice set with the interrogation room
1,"This dvd is great if you think that Gennifer Flowers, Paula Jones and Monica Lewinsky were the highlights of the Clinton administration. There is almost no useful history in this at all. It borders on tabloid journalism under the guise of a respectable documentary."
1,i would recomend this book to friends who have insomnia or those who i absolutely despise.
1,"I am concerned that the stereo in Mom's 86 Yugo can do this CD justice. Maybe if I jerry rig the home speakers and put them in the back seat I can gain some respect. Some Jonas Brothers RESPECT... It is essential that the music be loud for me... It has to penetrate the court mandated padded helmet I must wear when I venture outdoors. It does not look stupid however, I hand drew little skulls all over it to give it the ""cool factor""."
1,That is the tragedy -- that a great nation could be hoodwinked into voting for someone not even qualified for local dog catcher.
1,"What escapes a lot of enthusiasts for this book is that the author is essentially telling the poor drudges over at Iowa Writer's to forget their MFA's; if you want to be a successful (as opposed to great or even good) writer, get your MBA-marketing."
1,"I hope the real Black Keys have filed a cease and desist order against the impostors who created this cruel satire that sounds worse than anything I've heard in an elevator. I bought and then listened to some of this thinking it was to be genuine Black Keys music, and then felt like I had entered some sort of bizarro universe. Actually deserves less than one star."
1,"I bought this camera thinking that it would be great. However I was terribly incorrect. Even though this camera has cool features like there touch screen, it takes terrible pictures and some features like the smile recognition doesn't even work. In addition the battery life last about 5 hours and it takes about 4 to charge it. Finally there camera doesn't even come with directions. All it comes with is a quick review that tells the owner almost nothing."
1,"Sharp had always been a reliable choice - not this time. When the set arrived, one channel was fuzzy and had no sound. We determined that it was definitely the set, not our cable. Sharp technician was not able to help at all and said I had to return the set to them directly at my expense to have it repaired (2-3 weeks). That made no sense for a brand new product."
1,"my daughter says....NO! When she sees these., My 2 year old has tried all flavors and screams ""No!"" When she sees these.She loves the Plum Tots fruity Fingerfuls though."
1,"I was going to enter a monastery. I had it all planned out. I was going to take a vow of poverty and devote the rest of my life to prayer, reflection, charity, and serving the Lord. However, as I was about to take the vows I found out that I would NOT be allowed to take my Night Breed Wolf T-Shirt into my new monastic life with me. I guess you could say the Night Breed Wolf T-Shirt changed the course of my life..."
1,"It's that damn tuscan milk! I foolishly blamed the milk for my problems. I lost my job, my car broke, and my girlfriend left me. All in one morning! I thought the milk was the cause. Hours later, I arrived at my home. ""Nice"" I thought, as I spotted the 30 day notice. The thought of now getting kicked out my house kind of made me smile. At this point, nothing could get worse, right? It's not like a gang of ninjas is going to come in and kill my family or something."
1,"I proceeded to open the container then pour it all over myself, in front of my girlfriend. Imagine my embarassment with poweder all over myself. Needless to say the evening did not go as planned. Though I did take a bath, and the water did taste an awfully lot like milk. My fault though, for thinking the company was Nido Powder"
1,I was in the mood for them just really screwed up my preconceptions of choice and free will. I'm still having a major existential hangover.
1,"It is veritably the inflatable toast for the ages, and the one that you and your family will cherish throughout the years and pass down the generations as a family heirloom. Unlike the non-inflatable toasts this toast will retain its color and consistency for generations. And since it is made out of non-biodegradable materials, it will not be subject to the vicissitudes of time and decay."
1,"Need a good laugh? Try page 23 when something finally happens. The bats attack and, despite the military setting up a perimeter (against bats? what? are they going to shoot em?) the bats get through (gasp!) they ""blot out the stars"" (which makes them tough to shoot, even for the military) and lift soldiers right off their feet and then ""bore through him like a hot knife through butter."" (ouch, right? but Bats? Even super nasty bats? How about going inside a tent? That work for ya? Na."
1,"My son enjoyed this pool ONE time and the following night (after struggling several times the previous day just to set it up!) we had a tornado blow through and it shredded (yes, shredded) this pool to bits and pieces"
1,"Buggy disappointment - does not live up to its predecessors, July 12, 2010 By Normally a Lego Game Fan - See all my reviews Fun: This review is from: LEGO Harry Potter: Years 1-4 (Video Game) Long time fan of the Lego Games by Traveler's Tales. I loved Lego Star Wars, Indy was good. Batman was my favorite. I must confess, I never played Lego Indy 2. Though, a disclaimer, I do not like the inspirational subject matter of this one near as much as the others, so it was already at a disadvantage. However, this game is so poor that I felt the need to tell everyone."
1,"It wasn't until I got to 43654 and then sped on towards 53511 that I realized that if you take every 10th digit, multiply by 12, divide by 150, then using every 5th digit to code with the letters of the Russian alphabet, that you get a backwards version of the Da Vinci Code"
1,"How would I describe the plot in Dead in the Family? Oh, right, there is no plot!"
1,"Unless you truly enjoy the idea of wasting a moment of life, in a sedentary moment. Do not buy this piece of crap. If you enjoy lame porn, you'll love this. It's about as imaginative and innovative as the nut who peed in a jar and put a cross in it. Way to recycle bodily fluids dude. And yep, another dummy bought it."
1,"""Bleh, to that. I wasnt expecting the reincarnation of Tami Lee Webb. But I sure wasnt expecting camera shots and music that were based in soft core porn."" ""Not one of those girls has ever hit the gym seriously in their life, because their form showed all."" ""This is a novelty video for people who want to see three girls in non-exercise wear (the cleavage shots grew tiresome) doing soft porn type maneuvers all in the name of ""fitness."""
1,"There is little doubt now that David Husselshaft is a major force in the music business these days. I've already been a fan for many years, but an amazing thing happened recently which I have to share. The doctor said my dog Cherish had only days to live. Desperate for any sign of recovery, I played this CD in the garage for him 24/7, and not only did my dog die, but so did 2 cats and all of my plants. My neighbor came down with a rare form of stomach virus, the one causes massive cramping and explosive diarrhea."
1,"From what I've seen most of them are males and they walk around most of the time with thier shirts off in the woods. ~sings~ FAAAANNNNNSEEEERRVVVICCES! For the ladies. LOL. As an 18 year old woman I won't complain too much about that, but its still strange. I also noticed that they make Jacobs transition into a werewolf sound like hes coming out the closet or something. That shows how bad the dialogue is. I was expecting this to be way better than Twilight because I heard there was way more action. Guess what I bailed out an hour and 30 minutes in. ITs way more dull and boring than Twilight. Theres still no plot, Bella is a b****, and theres still no true conflict. She ends up getting everything she wants at the end of the series anyway including a perfect family with no troubles at 18. OMG shocking isn't it! There were also moment that made me laugh so hard because of how insane they were. One being an example is there is one scene where there at a birthday party and somehow Bella being the clumsy b**** she is cuts herself with wrapping paper (I don't know how thats possible) and one of the vampires go crazy and tries to attack her. Sounds interesting right? Well Edward being the loving boyfriend he is protects her by pushing her into a glass table adding more injury. LMAO! He couldn't just push the attacking vamp away?! He could've just restrain him! But noo! He just pushes her into a case making the situation worse. LOL"
1,"Well so far I have read 37 pages of this and there is nothing in it that anyone with a grudge against Obama could not have written. The authors even use quotes from their previous masterworks to bolster their views. So far they have not offered one original idea on how to improve economic conditions, but they do want to take this country back. They don't say where to, the good old days of the 60's, 70's, 80's, maybe even the 50's, who knows. Anyway, I will continue to read it, just to see why a person who must get paid plenty of money by the fair and balanced news station feels the need to take 10 dollars from the readers wallets."
1,"I carry a few alcohol wipes(good for a million things) with me and this lights them on the first try. I keep one in each car, on the boat, and in my briefcase. I may never need it, but if I ever do I don't have to worry about it working. Do yourself a favor and buy one or more of these and never worry about being without a fire."
1,"I enjoy reading V.C. Andrews - for a laugh. Please. All of the Andrews writing is a crock, I mean Dawn and Ruby had exactly the same plot except one was staged in Louisiana and the other was in Virginia. I liked Flowers in the Attic when I was thirteen. Then I discovered real writing talent. This has got to be the worst novel ever written. How many of you would have romantic feelings for your brother after spending three years 24/7 in the same room with him? None? I didn't think so."
1,"This is another of visionary director Uwe Bolls brilliantly forged masterpieces. I believe this film was secretly banned from Oscar consideration due to the fact the committee felt it would be unfair to the other nominees. Uwe Boll deserves an award for his contributions; he is truly a pioneer of German tax loopholes, and will continue to inspire future generations with his brilliance."
1,terrible swill. I can't belive this is from the company that WANTS to sell you their coffee maker. Try the Millstone or if you can find it the Target brands instead.
1,"In the case of B2EB (as I refer to it in my seminal critical study of American musicals and ninja films), those inspirations extend far beyond the original Breakin', a groundbreaking work in its own right, but to the earliest days of ""talkies"" and such musically driven films as The Jazz Singer. Sure, The Jazz Singer had Al Jolsen, but Breakin' 2 has something that its cinematic progenitors could only dream of -- namely, boogaloo."
1,"From the opening pages of Tori Spelling's searing new memoir, ""Mommywood,"" readers will realize that we are in for a rare tale of pathos and depth. In that first scene, Spelling recounts the devastation and fear she experienced when, at a 3-D ultrasound for her first child, she realized that his nose looked too big. Gigantic, even. She could not believe that this horrifying defect, which could well destroy Liam's Hollywood career before it even began, went unnoticed by her husband and doctor."
